,date,patient_SSN,room_number,stay_start,stay_end
0,2020-01-01,500000181,402,2020-01-01,2020-01-06
1,2020-01-01,500000055,308,2020-01-01,2020-01-05
2,2020-01-01,500000143,208,2020-01-01,2020-01-04
3,2020-01-02,500000018,404,2020-01-02,2020-01-06
4,2020-01-02,500000278,503,2020-01-02,2020-01-06
5,2020-01-02,500000441,105,2020-01-02,2020-01-05
6,2020-01-02,500000077,110,2020-01-02,2020-01-05
7,2020-01-02,500000490,401,2020-01-02,2020-01-06
8,2020-01-02,500000240,609,2020-01-02,2020-01-04
9,2020-01-03,500000026,508,2020-01-03,2020-01-12
10,2020-01-03,500000251,104,2020-01-03,2020-01-06
11,2020-01-03,500000281,107,2020-01-03,2020-01-05
12,2020-01-03,500000141,203,2020-01-03,2020-01-10
13,2020-01-03,500000250,207,2020-01-03,2020-01-08
14,2020-01-03,500000468,103,2020-01-03,2020-01-06
15,2020-01-03,500000151,102,2020-01-03,2020-01-06
16,2020-01-03,500000198,504,2020-01-03,2020-01-06
17,2020-01-03,500000378,405,2020-01-03,2020-01-06
18,2020-01-03,500000439,604,2020-01-03,2020-01-08
19,2020-01-04,500000465,209,2020-01-04,2020-01-06
20,2020-01-04,500000126,106,2020-01-04,2020-01-07
21,2020-01-04,500000328,507,2020-01-04,2020-01-07
22,2020-01-04,500000144,201,2020-01-04,2020-01-07
23,2020-01-04,500000480,109,2020-01-04,2020-01-07
24,2020-01-04,500000501,205,2020-01-04,2020-01-08
25,2020-01-05,500000154,206,2020-01-05,2020-01-07
26,2020-01-06,500000308,306,2020-01-06,2020-01-10
27,2020-01-06,500000113,506,2020-01-06,2020-01-09
28,2020-01-06,500000425,407,2020-01-06,2020-01-11
29,2020-01-06,500000345,210,2020-01-06,2020-01-10
30,2020-01-07,500000168,410,2020-01-07,2020-01-13
31,2020-01-07,500000292,606,2020-01-07,2020-01-10
32,2020-01-08,500000350,104,2020-01-08,2020-01-12
33,2020-01-08,500000475,502,2020-01-08,2020-01-12
34,2020-01-09,500000320,208,2020-01-09,2020-01-13
35,2020-01-09,500000398,205,2020-01-09,2020-01-12
36,2020-01-09,500000138,303,2020-01-09,2020-01-14
37,2020-01-09,500000189,609,2020-01-09,2020-01-12
38,2020-01-09,500000484,403,2020-01-09,2020-01-13
39,2020-01-09,500000184,608,2020-01-09,2020-01-10
40,2020-01-09,500000433,110,2020-01-09,2020-01-14
41,2020-01-09,500000441,604,2020-01-09,2020-01-12
42,2020-01-10,500000487,510,2020-01-10,2020-01-13
43,2020-01-10,500000113,408,2020-01-10,2020-01-14
44,2020-01-10,500000414,207,2020-01-10,2020-01-13
45,2020-01-11,500000093,202,2020-01-11,2020-01-15
46,2020-01-11,500000182,310,2020-01-11,2020-01-16
47,2020-01-11,500000240,409,2020-01-11,2020-01-14
48,2020-01-11,500000361,606,2020-01-11,2020-01-15
49,2020-01-11,500000155,507,2020-01-11,2020-01-15
