INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000319,201,'2020-01-01','2020-01-06');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000356,104,'2020-01-02','2020-01-04');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000091,205,'2020-01-02','2020-01-04');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000297,304,'2020-01-02','2020-01-06');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000022,305,'2020-01-02','2020-01-06');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000031,309,'2020-01-02','2020-01-05');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000056,406,'2020-01-02','2020-01-05');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000138,407,'2020-01-02','2020-01-05');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000141,409,'2020-01-02','2020-01-06');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000184,603,'2020-01-02','2020-03-22');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000017,608,'2020-01-02','2020-01-05');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000311,109,'2020-01-03','2020-01-06');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000391,110,'2020-01-03','2020-01-06');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000157,209,'2020-01-03','2020-01-06');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000129,310,'2020-01-03','2020-01-06');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000049,401,'2020-01-03','2020-01-08');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000363,405,'2020-01-03','2020-01-08');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000361,505,'2020-01-03','2020-01-07');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000259,602,'2020-01-03','2020-01-07');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000399,202,'2020-01-04','2020-01-09');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000226,210,'2020-01-04','2020-01-07');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000378,303,'2020-01-04','2020-01-07');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000281,308,'2020-01-04','2020-01-08');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000448,105,'2020-01-05','2020-01-11');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000042,307,'2020-01-05','2020-01-07');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000099,506,'2020-01-05','2020-01-08');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000389,207,'2020-01-06','2020-01-09');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000468,302,'2020-01-06','2020-01-09');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000060,408,'2020-01-06','2020-01-10');
