,date,patient_SSN,room_number,stay_start,stay_end
0,2020-01-01,500000002,509,2020-01-01,2020-01-03
1,2020-01-01,500000074,103,2020-01-01,2020-01-02
2,2020-01-01,500000054,604,2020-01-01,2020-01-03
3,2020-01-02,500000038,208,2020-01-02,2020-01-04
4,2020-01-03,500000037,207,2020-01-03,2020-01-04
5,2020-01-03,500000064,109,2020-01-03,2020-01-06
6,2020-01-04,500000036,605,2020-01-04,2020-01-07
7,2020-01-05,500000022,107,2020-01-05,2020-01-08
8,2020-01-05,500000005,608,2020-01-05,2020-01-05
9,2020-01-06,500000092,303,2020-01-06,2020-01-08
10,2020-01-07,500000081,302,2020-01-07,2020-01-09
11,2020-01-07,500000002,503,2020-01-07,2020-01-09
12,2020-01-08,500000040,604,2020-01-08,2020-01-12
13,2020-01-08,500000061,104,2020-01-08,2020-01-08
14,2020-01-08,500000085,207,2020-01-08,2020-01-12
15,2020-01-09,500000044,405,2020-01-09,2020-01-11
16,2020-01-09,500000016,404,2020-01-09,2020-01-12
17,2020-01-09,500000029,610,2020-01-09,2020-01-11
18,2020-01-10,500000010,105,2020-01-10,2020-01-10
19,2020-01-11,500000043,508,2020-01-11,2020-01-11
20,2020-01-11,500000101,609,2020-01-11,2020-01-12
21,2020-01-13,500000054,507,2020-01-13,2020-01-17
22,2020-01-14,500000023,101,2020-01-14,2020-01-16
23,2020-01-15,500000104,408,2020-01-15,2020-01-18
24,2020-01-15,500000057,606,2020-01-15,2020-01-17
25,2020-01-15,500000026,409,2020-01-15,2020-01-16
26,2020-01-16,500000069,609,2020-01-16,2020-01-18
27,2020-01-17,500000056,509,2020-01-17,2020-01-18
28,2020-01-18,500000007,205,2020-01-18,2020-01-22
29,2020-01-18,500000078,110,2020-01-18,2020-01-20
30,2020-01-19,500000039,608,2020-01-19,2020-01-19
31,2020-01-19,500000020,405,2020-01-19,2020-01-21
32,2020-01-19,500000048,602,2020-01-19,2020-01-21
33,2020-01-20,500000107,607,2020-01-20,2020-01-22
34,2020-01-20,500000081,107,2020-01-20,2020-01-21
35,2020-01-21,500000045,106,2020-01-21,2020-01-25
36,2020-01-21,500000011,302,2020-01-21,2020-01-22
37,2020-01-22,500000087,507,2020-01-22,2020-01-24
38,2020-01-22,500000055,508,2020-01-22,2020-01-25
39,2020-01-23,500000090,308,2020-01-23,2020-01-25
40,2020-01-25,500000023,310,2020-01-25,2020-01-28
41,2020-01-25,500000034,506,2020-01-25,2020-01-27
42,2020-01-25,500000103,401,2020-01-25,2020-01-28
43,2020-01-26,500000056,208,2020-01-26,2020-01-28
44,2020-01-29,500000057,406,2020-01-29,2020-01-31
45,2020-01-29,500000087,601,2020-01-29,2020-01-31
46,2020-01-30,500000098,309,2020-01-30,2020-02-01
47,2020-01-30,500000052,405,2020-01-30,2020-01-30
48,2020-01-31,500000076,506,2020-01-31,2020-02-02
49,2020-02-01,500000031,401,2020-02-01,2020-02-04
50,2020-02-01,500000009,510,2020-02-01,2020-02-03
51,2020-02-01,500000004,308,2020-02-01,2020-02-03
52,2020-02-02,500000044,609,2020-02-02,2020-02-06
53,2020-02-04,500000055,101,2020-02-04,2020-02-08
54,2020-02-04,500000065,307,2020-02-04,2020-02-08
55,2020-02-05,500000080,202,2020-02-05,2020-02-07
56,2020-02-05,500000078,407,2020-02-05,2020-02-07
57,2020-02-06,500000060,506,2020-02-06,2020-02-08
58,2020-02-06,500000037,301,2020-02-06,2020-02-09
59,2020-02-06,500000084,305,2020-02-06,2020-02-09
60,2020-02-08,500000061,304,2020-02-08,2020-02-10
61,2020-02-08,500000004,306,2020-02-08,2020-02-11
62,2020-02-08,500000036,106,2020-02-08,2020-02-09
63,2020-02-09,500000100,608,2020-02-09,2020-02-11
64,2020-02-09,500000050,108,2020-02-09,2020-02-12
65,2020-02-13,500000019,304,2020-02-13,2020-02-14
66,2020-02-13,500000006,106,2020-02-13,2020-02-13
67,2020-02-14,500000098,510,2020-02-14,2020-02-15
68,2020-02-14,500000022,205,2020-02-14,2020-02-17
69,2020-02-14,500000025,309,2020-02-14,2020-02-16
70,2020-02-15,500000064,308,2020-02-15,2020-02-19
71,2020-02-16,500000042,401,2020-02-16,2020-02-17
72,2020-02-17,500000010,105,2020-02-17,2020-02-18
73,2020-02-17,500000083,403,2020-02-17,2020-02-21
74,2020-02-18,500000006,405,2020-02-18,2020-02-21
75,2020-02-20,500000014,601,2020-02-20,2020-02-23
76,2020-02-21,500000094,203,2020-02-21,2020-02-24
77,2020-02-21,500000021,502,2020-02-21,2020-02-24
78,2020-02-21,500000029,205,2020-02-21,2020-02-24
79,2020-02-22,500000065,102,2020-02-22,2020-02-23
80,2020-02-22,500000012,110,2020-02-22,2020-02-25
81,2020-02-23,500000081,201,2020-02-23,2020-02-27
82,2020-02-23,500000050,103,2020-02-23,2020-02-26
83,2020-02-23,500000004,510,2020-02-23,2020-02-26
84,2020-02-24,500000089,301,2020-02-24,2020-02-25
85,2020-02-25,500000078,306,2020-02-25,2020-02-28
86,2020-02-27,500000040,404,2020-02-27,2020-03-01
87,2020-02-27,500000045,202,2020-02-27,2020-02-27
88,2020-02-28,500000042,110,2020-02-28,2020-03-01
89,2020-02-29,500000046,606,2020-02-29,2020-03-01
90,2020-02-29,500000079,209,2020-02-29,2020-03-02
91,2020-02-29,500000011,306,2020-02-29,2020-03-03
92,2020-03-01,500000053,104,2020-03-01,2020-03-04
93,2020-03-01,500000097,204,2020-03-01,2020-03-01
94,2020-03-01,500000100,602,2020-03-01,2020-03-02
95,2020-03-04,500000081,107,2020-03-04,2020-03-06
96,2020-03-04,500000050,605,2020-03-04,2020-03-06
97,2020-03-06,500000063,102,2020-03-06,2020-03-09
98,2020-03-06,500000073,208,2020-03-06,2020-03-06
99,2020-03-06,500000031,109,2020-03-06,2020-03-09
100,2020-03-07,500000065,402,2020-03-07,2020-03-08
101,2020-03-08,500000071,508,2020-03-08,2020-03-09
102,2020-03-09,500000020,310,2020-03-09,2020-03-11
103,2020-03-10,500000017,108,2020-03-10,2020-03-12
104,2020-03-11,500000052,506,2020-03-11,2020-03-13
105,2020-03-11,500000097,309,2020-03-11,2020-03-13
106,2020-03-12,500000001,304,2020-03-12,2020-03-14
107,2020-03-12,500000050,110,2020-03-12,2020-03-13
108,2020-03-12,500000102,605,2020-03-12,2020-03-14
109,2020-03-13,500000038,104,2020-03-13,2020-03-16
110,2020-03-13,500000008,210,2020-03-13,2020-03-15
111,2020-03-14,500000039,610,2020-03-14,2020-03-18
112,2020-03-14,500000044,502,2020-03-14,2020-03-17
113,2020-03-14,500000069,203,2020-03-14,2020-03-16
114,2020-03-15,500000067,604,2020-03-15,2020-03-16
115,2020-03-16,500000017,508,2020-03-16,2020-03-19
116,2020-03-16,500000096,206,2020-03-16,2020-03-18
117,2020-03-17,500000024,403,2020-03-17,2020-03-20
118,2020-03-17,500000083,407,2020-03-17,2020-03-21
119,2020-03-18,500000012,402,2020-03-18,2020-03-20
120,2020-03-18,500000104,301,2020-03-18,2020-03-18
121,2020-03-18,500000079,105,2020-03-18,2020-03-19
122,2020-03-19,500000035,308,2020-03-19,2020-03-20
123,2020-03-19,500000099,102,2020-03-19,2020-03-23
124,2020-03-20,500000101,203,2020-03-20,2020-03-23
125,2020-03-20,500000011,305,2020-03-20,2020-03-21
126,2020-03-20,500000052,405,2020-03-20,2020-03-21
127,2020-03-21,500000039,609,2020-03-21,2020-03-22
128,2020-03-21,500000075,506,2020-03-21,2020-03-24
129,2020-03-22,500000078,409,2020-03-22,2020-03-25
130,2020-03-22,500000030,503,2020-03-22,2020-03-23
131,2020-03-23,500000006,601,2020-03-23,2020-03-25
132,2020-03-23,500000108,201,2020-03-23,2020-03-24
133,2020-03-25,500000055,305,2020-03-25,2020-03-27
134,2020-03-25,500000034,505,2020-03-25,2020-03-27
135,2020-03-26,500000038,510,2020-03-26,2020-03-27
136,2020-03-26,500000002,506,2020-03-26,2020-03-28
137,2020-03-27,500000018,208,2020-03-27,2020-03-30
138,2020-03-27,500000049,301,2020-03-27,2020-03-29
139,2020-03-28,500000107,201,2020-03-28,2020-03-29
140,2020-03-29,500000037,407,2020-03-29,2020-03-30
141,2020-03-29,500000025,504,2020-03-29,2020-03-31
142,2020-03-30,500000077,106,2020-03-30,2020-04-02
143,2020-03-31,500000033,310,2020-03-31,2020-04-02
144,2020-04-01,500000039,304,2020-04-01,2020-04-01
145,2020-04-04,500000031,305,2020-04-04,2020-04-07
146,2020-04-05,500000047,309,2020-04-05,2020-04-07
147,2020-04-05,500000026,509,2020-04-05,2020-04-06
148,2020-04-06,500000077,603,2020-04-06,2020-04-08
149,2020-04-06,500000021,604,2020-04-06,2020-04-08
150,2020-04-07,500000044,510,2020-04-07,2020-04-07
151,2020-04-07,500000065,110,2020-04-07,2020-04-09
152,2020-04-08,500000103,208,2020-04-08,2020-04-10
153,2020-04-08,500000079,109,2020-04-08,2020-04-10
154,2020-04-09,500000086,309,2020-04-09,2020-04-13
155,2020-04-11,500000061,310,2020-04-11,2020-04-15
156,2020-04-11,500000018,603,2020-04-11,2020-04-13
157,2020-04-12,500000030,506,2020-04-12,2020-04-15
158,2020-04-12,500000002,403,2020-04-12,2020-04-12
159,2020-04-14,500000054,102,2020-04-14,2020-04-17
160,2020-04-15,500000009,508,2020-04-15,2020-04-17
161,2020-04-16,500000020,607,2020-04-16,2020-04-17
162,2020-04-17,500000007,107,2020-04-17,2020-04-18
163,2020-04-17,500000006,305,2020-04-17,2020-04-18
164,2020-04-18,500000003,308,2020-04-18,2020-04-20
165,2020-04-18,500000084,606,2020-04-18,2020-04-20
166,2020-04-21,500000055,505,2020-04-21,2020-04-22
167,2020-04-22,500000025,403,2020-04-22,2020-04-24
168,2020-04-22,500000063,110,2020-04-22,2020-04-24
169,2020-04-22,500000086,102,2020-04-22,2020-04-23
170,2020-04-23,500000058,604,2020-04-23,2020-04-26
171,2020-04-25,500000073,608,2020-04-25,2020-04-28
172,2020-04-25,500000072,501,2020-04-25,2020-04-29
173,2020-04-30,500000065,401,2020-04-30,2020-05-02
174,2020-04-30,500000093,305,2020-04-30,2020-05-03
175,2020-04-30,500000017,202,2020-04-30,2020-05-02
176,2020-05-01,500000108,601,2020-05-01,2020-05-02
177,2020-05-01,500000027,408,2020-05-01,2020-05-02
178,2020-05-03,500000015,603,2020-05-03,2020-05-04
179,2020-05-03,500000101,210,2020-05-03,2020-05-06
180,2020-05-05,500000084,309,2020-05-05,2020-05-07
181,2020-05-05,500000074,202,2020-05-05,2020-05-05
182,2020-05-05,500000098,102,2020-05-05,2020-05-08
183,2020-05-07,500000074,105,2020-05-07,2020-05-08
184,2020-05-07,500000038,506,2020-05-07,2020-05-10
185,2020-05-08,500000070,109,2020-05-08,2020-05-09
186,2020-05-08,500000082,110,2020-05-08,2020-05-11
187,2020-05-09,500000098,310,2020-05-09,2020-05-11
